experiment,duration_dp,solution_dp,optimal_dp,duration_iqcp,solution_iqcp,optimal_iqcp,duration,solution,optimal,duration_miqcp,solution_miqcp,optimal_miqcp,duration_greedy,solution_greedy,optimal_greedy,n_nodes,solution_rollout,final_damage,time_taken,optimal_rollout,diff_iqcp_rollout,diff_ilp_rollout,diff_greedy_rollout
44,,,,3300.5156140327454,"[-1, 3, 22, 16]",98.0,3691.8290073871613,,,,,,0.008602380752563477,"[-1, 22, 16, 62]",97,100,"[3, 22, 16]",2,308.483898552,98,0.0,,1
45,,,,2714.5142743587494,"[-1, 15, 94]",95.00000000000001,3101.1883974075317,,,,,,0.008910179138183594,"[-1, 15, 35]",94,100,"[35, 94, 15]",5,266.6568977669999,95,-1.4210854715202004e-14,,1
46,,,,3459.2452313899994,"[-1, 53, 54, 49]",94.0,3352.19207906723,,,,,,0.008977174758911133,"[-1, 53, 49, 98, 86]",92,100,"[47, 24, 6, 62, 86, 98]",7,114.91437842899995,93,-1.0,,1
47,,,,2488.150626182556,"[-1, 0, 54, 92, 16]",97.0,3088.328456401825,,,,,,0.009497404098510742,"[-1, 0, 16, 63, 7]",95,100,"[0, 54, 92, 16]",3,179.50770567499967,97,0.0,,2
48,,,,6326.970283269882,"[-1, 74, 62, 17, 43]",89.0,3379.957980632782,,,,,,0.00906991958618164,"[-1, 6, 41, 81]",86,100,"[74, 17, 62, 43]",11,8.35059537899997,89,0.0,,3
49,,,,2521.6155614852905,"[-1, 99, 86, 47]",98.0,3149.403798341751,,,,,,0.008861541748046875,"[-1, 86, 47, 72]",97,100,"[99, 86, 47]",2,164.68348713999967,98,0.0,,1
50,,,,2685.710521221161,"[-1, 94, 7, 84, 98]",96.0,3183.6753487586975,,,,,,0.008899688720703125,"[-1, 94, 7, 84, 98]",96,100,"[94, 7, 84, 98]",4,230.70295803199951,96,0.0,,0
51,0.06686615943908691,"[-1, 15, 0, 7, 13]",11.0,9.006367683410645,"[-1, 15, 0, 7, 13]",11.0,15.144894361495972,"[-1, 15, 0, 11, 12, 13]",11.0,26759.819811105728,"[-1, 15, 11, 0, 13, 12, 1, 6]",11.0,0.00428318977355957,"[-1, 15, 7, 13]",10,20,"[15, 11, 0, 13, 12]",9,0.058883222000076785,11,0.0,0.0,1
52,0.05846905708312988,"[-1, 6, 3, 1, 8, 4, 2]",15.0,5.69188117980957,"[-1, 6, 3, 8, 1, 9]",15.0,23.85261559486389,"[-1, 6, 3, 19, 12, 17]",15.0,86400.17928266525,,,0.0037240982055664062,"[-1, 6, 19, 12, 17]",13,20,"[6, 3, 19, 12, 17]",5,0.1774315740003658,15,0.0,0.0,2
53,0.020714759826660156,"[-1, 10, 2, 1]",15.0,3.139914035797119,"[-1, 10, 2, 1]",15.0,7.6340012550354,"[-1, 10, 2, 1]",15.0,94.90329885482788,"[-1, 10, 2, 1, 19, 5, 0, 4, 6, 13, 12]",15.0,0.0036454200744628906,"[-1, 10, 1]",14,20,"[10, 2, 1]",5,0.07989945099961915,15,0.0,0.0,1
54,0.030108928680419922,"[-1, 15, 4]",15.0,3.1323459148406982,"[-1, 15, 4]",15.0,6.0626444816589355,"[-1, 15, 4]",15.0,456.6276137828827,"[-1, 15, 4, 16, 11, 0]",15.0,0.0035321712493896484,"[-1, 15, 4]",15,20,"[15, 4]",5,0.13890727700072603,15,0.0,0.0,0
55,0.06248021125793457,"[-1, 17]",15.0,2.9986371994018555,"[-1, 17]",15.0,6.312793254852295,"[-1, 17]",15.0,1248.4967966079712,"[-1, 17, 16, 3, 5, 0, 1, 8, 10, 11, 15]",15.0,0.0035791397094726562,"[-1, 17]",15,20,[17],5,0.09750402900044719,15,0.0,0.0,0
56,0.022191524505615234,"[-1, 9, 13, 17, 3]",12.0,5.020771503448486,"[-1, 9, 13, 17, 3]",12.0,9.95369291305542,"[-1, 9, 13, 17, 3]",12.0,1258.4213848114014,"[-1, 9, 13, 17, 3, 0, 5, 11, 4]",12.0,0.0034809112548828125,"[-1, 17, 3]",8,20,"[9, 13, 17, 3]",8,0.10902100600014819,12,0.0,0.0,4
57,0.14634013175964355,"[-1, 3, 0, 16, 17]",16.0,6.373048543930054,"[-1, 3, 14]",16.0,13.852207660675049,"[-1, 3, 14]",16.0,86400.15311074257,,,0.0035440921783447266,"[-1, 3, 14]",16,20,"[3, 14]",4,0.18259565900007146,16,0.0,0.0,0
58,0.031080007553100586,"[-1, 3, 6, 8, 5, 18]",14.0,3.3505523204803467,"[-1, 3, 9, 12]",14.0,9.366890907287598,"[-1, 3, 9, 12]",14.0,86400.11500096321,,,0.0035631656646728516,"[-1, 3, 9, 12]",14,20,"[3, 8, 17]",6,0.11480939500052045,14,0.0,0.0,0
59,0.38172149658203125,"[-1, 13, 14, 4, 2, 9]",18.0,5.180176019668579,"[-1, 13, 14, 4, 2, 9]",18.0,9.818460702896118,"[-1, 13, 14, 4, 2, 9]",18.0,2838.1151871681213,"[-1, 13, 14, 4, 2, 9, 3, 15, 0, 6, 16]",18.0,0.0034942626953125,"[-1, 12]",17,20,[12],3,0.21851246499954868,17,-1.0,-1.0,0
60,0.043447017669677734,"[-1, 4, 1]",16.0,4.06712007522583,"[-1, 4, 1]",16.0,12.392312049865723,"[-1, 4, 1]",16.0,86400.2850010395,,,0.003818988800048828,"[-1, 4, 1]",16,20,"[4, 1]",4,0.11374824099948455,16,0.0,0.0,0
